name,country_id
&TRADITION,15
0039 SRL,27
101 COPENHAGEN Gmbh,20
1STDIBS,52
2AKUCHEN,45
3DMANIA,45
3PL SERVICES,30
41 ZERO 42 SRL,27
A RUDIN FURNITURE LTD,52
AATC AND CO SRL,27
ABC ITALIA SRL,27
ABC SRL,27
ABK GROUP INDUSTRIE CERAMICHE SPA,27
ABLO BLOMMERT NV,36
ABSOLUTELY ITALIAN GOODS S.P.A.,27
ABV LOWEN,20
ACAM SRL,27
ACANTO,45
ACB ILUMINACION,45
"ACCESORIOS DE BAÑO TABERNER,SL",45
ACEITES VICENTE PEREZ SL,45
ACF,27
ACQUA DESIGN SRL,27
ACRYL STUDIO DESIGN SRL,27
AD DAL POZZO,27
ADALEYA SL,45
ADALIO SRL,27
ADALRICO,20
ADEK BVBA,36
ADEL GROUP (ASIA) LIMITED,11
ADEX S.L.,45
ADIELLE SRL,27
ADM HOME SRL,27
ADONIS PAULI PORTUGAL,41
ADRIA ART SRL,27
ADVANCED EXPORTS LLC,52
AEREOPORTI DI ROMA SPA C/O ENIT,27
AERRE SRL,27
AET ITALIA SRL,27
AFFARI AB,46
AGA RANGEMASTER LTD,16
AGAPE SRL,27
AGENCY LTD,27
AGENZIA CAMPANIA TURISMO,27
AGLIKA TRADE LTD,16
AGO SRL,27
AGOPROFIL,27
AGORA GROUP,27
AGORA MOBILIARIO,45
"AGOSTINI ARTE ARREDO, S.R.L.",27
AGOSTINI MOBILI SRL,27
AGRESTI SRL,27
AGROMENTI TESSILI SRL,27
AIARDINI SRL,27
AIRNOVA,27
AITANA TEXTIL,45
AKABA SA,45
AKDO,50
AL MA TISSUES,27
ALAIN SAINT-JOANIS,19
ALBANI,20
ALBERT GUEGAIN SA,19
ALBERTA SALOTTI,27
ALBERTI MARMI,27
ALBERTO I MARIO CHEZZANI,27
ALBION,36
ALBRECHT JUNG GMBH & CO. KG,20
ALCHYMIA SRL,27
ALCOMOBEL,45
ALDABRA SRL,27
ALDECO,45
ALDO BERNARDI SRL,27
ALEAL INDUSTRIA DE MOBILIARIO,41
ALELUIA,27
ALESSI,27
ALEXANDER LAMONT,49
ALEXANDER LOWEN,20
ALEXANDROS ILIADIS SA,21
ALF UNO SPA,27
ALFA SC,40
ALFOMBRAS ARTESANALES,45
ALFOMBRAS PENA SA,45
ALFRED APELT GMBH,20
ALFRED RAITH GMBH,20
ALFREDO SALVATORI SRL,27
ALHAMBRA INTERNATIONAL,45
ALICE CERAMICA,27
ALISAR,27
ALIVAR,27
ALLEGRI MARINO CRISTAL SA,27
ALLIED MAKER,52
ALLIED MAKER LTD,52
ALLISON MACDERMONTT WALLPAPER,16
ALMA INTERNATIONAL SRL,27
ALMA LIGHT,45
ALMALIGHT,45
ALMAR SPA,27
ALMERCATONE,27
ALNO AG,20
ALONSO MERCADER S.A.,45
ALPUCH,45
ALTA SPA,27
ALTAECO SPA,27
ALTALENA of GENEVA,47
ALTAMAREA,27
ALTAMODA,27
"ALTIMA INNOVA, S.L.",45
ALTRENOTTI SAS,27
ALVIT,27
AM CLASSIC,45
AMADIS FINE TILES,45
AMBIENTA SRL,27
AMBOAN SL,45
AMELI HOME,27
AMELI SEDIE,27
AMGLOBAL SPAN SL,45
AMR INTERNATIONAL LDA,41
AMUSEMENT GAMES SRL,27
AMUSEMENT SUPPLY CO,52
ANACLETO MARIANI SRL,27
ANANBO WALLPAPERS,19
ANDALUZA DE MARQUETERIA,45
ANDRE HOULES & CIE,20
ANDREETTO AND ZANON,27
ANDREU EST,45
ANDREU WORLD SA,45
ANDREW MARTIN,16
ANEES CUSTOM FURNITURE,52
ANELVA DI UE,27
ANGEL CERDA SL,45
ANGELLO CARILLO S.P.A.,27
ANGELO CAPELLINI,27
ANGELO ORSONI SRL,27
ANGELO SRL,27
ANGELO TORNAGHI,27
ANGLES PENCHE,45
ANN SACkS,52
ANNA NEW YORK,52
ANNA TORFS SRO,14
ANNAMARIA ALOIS,27
ANNIBALE COLOMBO SRL,27
ANTARES FOR WATER & FIRE,27
ANTARES ILLUMINACIONE SA,45
ANTECUIR S.L.,45
ANTEPRIMA LUCE & DESIGN DI SOLARIO FEDERICO,27
ANTIC CENTRE DE VULPELLAC,45
ANTIC CUIR,45
ANTIC LINE,19
ANTICHITA NARDO MICHELA,27
ANTICO E SRL,27
ANTIKITIZ,16
ANTIQUE CENTRE SLEGERS,3
ANTIQUE INDIA FURNITURE,23
